date,tide (am/ pm),#caught,UW_OtoID,Scale_Card#,Genetics_ID,Sex,"Length (mideye-FL, mm)",MeshSize (in),Gen. Coll.? (Y/N),Oto. Coll.? (Y/N),Notes
2018-06-14,pm,,73,22,26751,f,849,8,y,y,
2018-06-14,pm,,74,22,26751,f,776,8,y,y,
2018-06-14,pm,,75,23,26729,f,852,8,y,y,
2018-06-14,pm,,62,21,26734,m,544,5.375,y,y,
2018-06-14,pm,,63,21,26734,m,501,5.375,y,y,
2018-06-14,pm,,64,21,26734,m,524,5.375,y,y,
2018-06-15,-1,,76,24,26742,f,692,5.375,y,y,
2018-06-15,-1,,77,24,26742,f,768,5.375,y,y,
2018-06-15,-1,,78,24,26742,m,796,5.375,y,y,
2018-06-15,-1,,79,24,26742,f,665,5.375,y,y,
2018-06-15,-1,,80,24,26742,f,734,5.375,y,y,
2018-06-15,-1,,81,24,26742,m,509,5.375,y,y,
2018-06-15,-1,,82,24,26742,m,610,5.375,y,y,
2018-06-15,-1,,83,24,26742,m,583,5.375,y,y,
2018-06-15,-1,,84,24,26742,m,597,5.375,y,y,
2018-06-15,-1,,85,24,26742,m,560,5.375,y,y,
2018-06-15,-1,,86,25,26738,m,674,5.375,y,y,
2018-06-15,-1,,87,25,26738,m,675,5.375,y,y,
2018-06-15,-1,,88,25,26738,m,616,5.375,y,y,
2018-06-15,-1,,89,25,26738,m,507,5.375,y,y,
2018-06-15,-1,,90,25,26738,m,637,5.375,y,y,
2018-06-15,-1,,91,25,26738,f,706,5.375,y,y,
2018-06-15,-1,,92,26,26716,m,644,8,y,y,
2018-06-15,-1,,93,26,26716,m,763,8,y,y,
2018-06-15,-1,,94,26,26716,m,737,8,y,y,
2018-06-15,-1,,95,26,26716,m,682,8,y,y,
2018-06-15,-1,,96,26,26716,f,756,8,y,y,
2018-06-15,-1,,97,26,26716,f,791,8,y,y,
2018-06-15,-1,,98,26,26716,f,757,8,y,y,
2018-06-16,am,,99,27,26727,m,693,8,y,y,
2018-06-16,am,,100,27,26727,f,829,8,y,y,
2018-06-16,am,,101,27,26727,m,700,8,y,y,
2018-06-16,am,,102,27,26727,f,712,8,y,y,
2018-06-16,pm,,110,30,26718,m,624,5.375,y,y,
2018-06-16,pm,,111,30,26718,m,717,5.375,y,y,
2018-06-16,pm,,112,30,26718,m,514,5.375,y,y,
2018-06-16,pm,,113,30,26718,f,702,5.375,y,y,
2018-06-16,pm,,114,30,26718,m,617,5.375,y,y,
2018-06-16,pm,,115,30,26718,m,745,5.375,y,y,
2018-06-16,pm,,116,30,26718,m,543,5.375,y,y,
2018-06-17,am,,103,28,26726,f,747,8,y,y,
2018-06-17,am,,104,28,26726,m,682,8,y,y,
2018-06-17,am,,109,28,26726,m,709,8,y,y,
2018-06-17,am,,105,29,26722,m,735,5.375,y,y,
2018-06-17,am,,106,29,26722,m,742,5.375,y,y,
2018-06-17,am,,107,29,26722,m,557,5.375,y,y,
2018-06-17,am,,108,29,26722,m,704,5.375,y,y,
2018-06-17,pm,,120,32,26723,f,791,8,y,y,
2018-06-17,pm,,121,32,26723,f,785,8,y,y,
2018-06-18,am,,117,31,26719,m,512,5.375,y,y,
2018-06-18,am,,118,31,26719,m,643,5.375,y,y,
2018-06-18,am,,119,31,26719,m,763,5.375,y,y,
2018-06-18,pm,,124,34,26728,m,727,8,y,y,
2018-06-18,pm,,125,34,26728,m,675,8,y,y,
2018-06-18,pm,,126,34,26728,m,713,8,y,y,
2018-06-18,pm,,127,35,26720,m,591,5.375,y,y,
2018-06-18,pm,,128,35,26720,m,557,5.375,y,y,
2018-06-18,pm,,129,35,26720,m,627,5.375,y,y,
2018-06-18,pm,,130,35,26720,m,689,5.375,y,y,
2018-06-19,am,,122,33,26754,m,657,8,y,y,
2018-06-19,am,,123,33,26754,f,788,8,y,y,
2018-06-20,am,,137,38,26701,f,781,8,y,y,
2018-06-20,am,,138,38,26701,m,706,8,y,y,
2018-06-20,pm,,131,36,26730,m,575,5.375,y,y,
2018-06-20,pm,,132,36,26730,m,630,5.375,y,y,
2018-06-20,pm,,133,36,26730,m,609,5.375,y,y,
2018-06-20,am,,134,37,26724,m,667,5.375,y,y,
2018-06-20,am,,135,37,26724,m,692,5.375,y,y,
2018-06-20,am,,136,37,26724,m,498,5.375,y,y,
2018-06-21,pm,,139,39,26713,m,536,5.375,y,y,
2018-06-21,pm,,140,39,26713,m,560,5.375,y,y,
2018-06-21,pm,,141,39,26713,f,773,5.375,y,y,
2018-06-21,pm,,142,39,26713,m,687,5.375,y,y,
2018-06-21,pm,,144,39,26713,m,539,5.375,y,y,
2018-06-21,pm,,143,40,26705,f,818,8,y,y,
2018-06-22,am,,146,42,26706,m,646,8,y,y,
2018-06-22,am,,147,42,26706,m,741,8,y,y,
2018-06-22,pm,,148,42,26706,m,858,8,y,y,
2018-06-22,pm,,149,42,26706,m,708,8,y,y,
2018-06-22,pm,,150,42,26706,f,808,8,y,y,
2018-06-22,am,,145,41,26710,m,587,5.375,y,y,
2018-06-22,am,,151,41,26710,m,537,5.375,y,y,
2018-06-22,am,,152,41,26710,f,651,5.375,y,y,
2018-06-22,am,,153,41,26710,m,506,5.375,y,y,
2018-06-22,pm,,154,41,26710,f,796,5.375,y,y,
2018-06-22,pm,,155,41,26710,m,688,5.375,y,y,
2018-06-23,am,,159,44,26700,m,724,8,y,y,
2018-06-23,am,,160,44,26700,m,687,8,y,y,
2018-06-23,am,,161,44,26700,m,531,8,y,y,
2018-06-23,am,,162,44,26700,f,703,8,y,y,
2018-06-23,pm,,182,44,26700,f,845,8,y,y,
2018-06-23,pm,,183,44,26700,f,741,8,y,y,
2018-06-23,pm,,184,44,26700,m,681,8,y,y,
2018-06-23,am,,156,43,26714,m,622,5.375,y,y,
2018-06-23,am,,157,43,26714,m,551,5.375,y,y,
2018-06-23,am,,158,43,26714,m,505,5.375,y,y,
2018-06-23,pm,,163,43,26714,m,656,5.375,y,y,
2018-06-23,pm,,164,43,26714,m,653,5.375,y,y,
2018-06-23,pm,,165,43,26714,m,558,5.375,y,y,
2018-06-23,pm,,166,43,26714,m,504,5.375,y,y,
2018-06-23,pm,,167,43,26714,m,535,5.375,y,y,
2018-06-23,pm,,168,43,26714,f,729,5.375,y,y,
2018-06-23,pm,,169,43,26714,f,841,5.375,y,y,
2018-06-23,pm,,170,45,26731,f,718,5.375,y,y,
2018-06-23,pm,,171,45,26731,m,549,5.375,y,y,
2018-06-23,pm,,172,45,26731,m,704,5.375,y,y,
2018-06-23,pm,,173,45,26731,m,518,5.375,y,y,
2018-06-23,pm,,174,45,26731,m,543,5.375,y,y,
2018-06-23,pm,,175,45,26731,m,569,5.375,y,y,
2018-06-23,pm,,176,45,26731,m,703,5.375,y,y,
2018-06-23,pm,,177,45,26731,m,621,5.375,y,y,
2018-06-23,pm,,178,45,26731,m,641,5.375,y,y,
2018-06-23,pm,,179,45,26731,m,487,5.375,y,y,
2018-06-23,pm,,180,46,26704,m,508,5.375,y,y,
2018-06-23,pm,,181,46,26704,m,491,5.375,y,y,
2018-06-24,am,,185,47,26761,m,388,8,y,y,
2018-06-24,am,,186,47,26761,f,682,8,y,y,
2018-06-24,am,,187,47,26761,f,834,8,y,y,
2018-06-24,am,,188,47,26761,m,663,8,y,y,
2018-06-24,am,,189,47,26761,m,561,8,y,y,
2018-06-24,am,,190,47,26761,f,777,8,y,y,
2018-06-24,am,,191,47,26761,m,683,8,y,y,
2018-06-24,pm,,192,47,26761,m,616,8,y,y,
2018-06-24,pm,,193,47,26761,f,757,8,y,y,
2018-06-24,am,,194,48,26749,m,732,5.375,y,y,
2018-06-24,am,,195,48,26749,m,619,5.375,y,y,
2018-06-24,am,,196,48,26749,m,501,5.375,y,y,
2018-06-24,am,,197,48,26749,m,713,5.375,y,y,
2018-06-24,am,,198,48,26749,m,513,5.375,y,y,
2018-06-24,pm,,199,48,26749,m,635,5.375,y,y,
2018-06-24,pm,,200,48,26749,f,614,5.375,y,y,
2018-06-24,pm,,201,48,26749,m,541,5.375,y,y,
2018-06-24,pm,,202,48,26749,m,554,5.375,y,y,
2018-06-24,pm,,203,48,26749,m,468,5.375,y,y,
2018-06-24,pm,,204,49,26753,m,644,5.375,y,y,
2018-06-24,pm,,205,49,26753,m,520,5.375,y,y,
2018-06-24,pm,,206,49,26753,f,696,5.375,y,y,
2018-06-25,am,,216,51,26748,m,628,8,y,y,
2018-06-25,am,,217,51,26748,m,642,8,y,y,
2018-06-25,am,,218,51,26748,m,702,8,y,y,
2018-06-25,am,,219,51,26748,m,813,8,y,y,
2018-06-25,am,,220,51,26748,m,667,8,y,y,
2018-06-25,am,,221,51,26748,m,753,8,y,y,
2018-06-25,am,,222,51,26748,f,808,8,y,y,
2018-06-25,am,,223,51,26748,m,713,8,y,y,
2018-06-25,am,,224,51,26748,m,720,8,y,y,
2018-06-25,am,,225,51,26748,f,806,8,y,y,
2018-06-25,am,,226,52,26752,m,743,8,y,y,
2018-06-25,pm,,228,52,26752,m,712,8,y,y,
2018-06-25,pm,,229,52,26752,m,703,8,y,y,
2018-06-25,pm,,230,52,26752,f,724,8,y,y,
2018-06-25,pm,,231,52,26752,f,723,8,y,y,
2018-06-25,pm,,232,52,26752,f,745,8,y,y,
2018-06-25,pm,,233,52,26752,m,670,8,y,y,
2018-06-25,pm,,234,52,26752,m,769,8,y,y,
2018-06-25,pm,,235,52,26752,f,759,8,y,y,
2018-06-25,am,,207,50,26757,m,541,5.375,y,y,
2018-06-25,am,,208,50,26757,m,848,5.375,y,y,
2018-06-25,am,,209,50,26757,m,679,5.375,y,y,
2018-06-25,am,,210,50,26757,f,743,5.375,y,y,
2018-06-25,am,,211,50,26757,m,507,5.375,y,y,
2018-06-25,am,,212,50,26757,f,791,5.375,y,y,
2018-06-25,am,,213,50,26757,m,657,5.375,y,y,
2018-06-25,am,,214,50,26757,f,852,5.375,y,y,
2018-06-25,am,,215,50,26757,m,577,5.375,y,y,
2018-06-25,am,,227,50,26757,m,568,5.375,y,y,
2018-06-25,pm,,236,53,26756,m,468,5.375,y,y,
2018-06-25,pm,,237,53,26756,m,625,5.375,y,y,
2018-06-25,pm,,238,53,26756,m,584,5.375,y,y,
2018-06-25,pm,,239,53,26756,m,555,5.375,y,y,
2018-06-25,pm,,240,53,26756,m,693,5.375,y,y,
2018-06-26,am,,241,54,26688,m,638,8,y,y,
2018-06-26,am,,242,54,26688,f,723,8,y,y,
2018-06-26,am,,243,54,26688,m,778,8,y,y,
2018-06-26,am,,244,54,26688,m,579,8,y,y,
2018-06-26,am,,245,54,26688,m,674,8,y,y,
2018-06-26,am,,246,54,26688,f,816,8,y,y,
2018-06-26,am,,247,54,26688,m,640,8,y,y,
2018-06-26,am,,248,54,26688,m,764,8,y,y,
2018-06-26,pm,,262,54,26688,m,519,8,y,y,
2018-06-26,pm,,263,54,26688,m,603,8,y,y,
2018-06-26,pm,,264,57,26687,f,841,8,y,y,
2018-06-26,pm,,265,57,26687,f,799,8,y,y,
2018-06-26,pm,,266,57,26687,m,695,8,y,y,
2018-06-26,am,,249,55,26684,m,570,5.375,y,y,
2018-06-26,am,,250,55,26684,m,665,5.375,y,y,
2018-06-26,am,,251,55,26684,m,528,5.375,y,y,
2018-06-26,am,,252,55,26684,m,610,5.375,y,y,
2018-06-26,pm,,253,55,26684,m,569,5.375,y,y,
2018-06-26,pm,,254,55,26684,m,711,5.375,y,y,
2018-06-26,pm,,255,55,26684,m,597,5.375,y,y,
2018-06-26,pm,,256,55,26684,f,762,5.375,y,y,
2018-06-26,pm,,257,55,26684,m,639,5.375,y,y,
2018-06-26,pm,,258,55,26684,m,550,5.375,y,y,
2018-06-26,pm,,259,56,26760,m,570,5.375,y,y,
2018-06-26,pm,,260,56,26760,m,487,5.375,y,y,
2018-06-26,pm,,261,56,26760,m,625,5.375,y,y,
2018-06-27,am,,267,58,26702,f,801,8,y,y,
2018-06-27,am,,268,58,26702,f,733,8,y,y,
2018-06-27,am,,269,58,26702,m,672,8,y,y,
2018-06-27,am,,270,58,26702,m,700,8,y,y,
2018-06-27,am,,271,58,26702,-1,839,8,y,y,
2018-06-27,pm,,282,62,26707,m,844,8,y,y,
2018-06-27,pm,,283,62,26707,m,860,8,y,y,
2018-06-27,am,,272,59,26750,m,555,5.375,y,y,
2018-06-27,pm,,284,63,26703,m,607,5.375,y,y,
2018-06-27,pm,,285,63,26703,m,630,5.375,y,y,
2018-06-27,pm,,286,63,26703,m,554,5.375,y,y,
2018-06-28,am,,279,61,26715,f,795,8,y,y,
2018-06-28,am,,280,61,26715,f,784,8,y,y,
2018-06-28,am,,281,61,26715,m,813,8,y,y,
2018-06-28,pm ,,293,66,26588,m,656,8,y,y,
2018-06-28,pm,,294,66,26588,m,715,8,y,y,
2018-06-28,pm,,295,66,26588,f,727,8,y,y,
2018-06-28,pm,,296,66,26588,f,771,8,y,y,
2018-06-28,pm,,297,66,26588,f,828,8,y,y,
2018-06-28,pm,,298,66,26588,m,859,8,y,y,
2018-06-28,am,,273,60,26711,m,735,5.375,y,y,
2018-06-28,am,,274,60,26711,f,743,5.375,y,y,
2018-06-28,am,,275,60,26711,m,591,5.375,y,y,
2018-06-28,am,,276,60,26711,m,504,5.375,y,y,
2018-06-28,am,,277,60,26711,m,651,5.375,y,y,
2018-06-28,am,,278,60,26711,f,819,5.375,y,y,
2018-06-28,pm,,299,67,26601,m,583,5.375,y,y,
2018-06-28,pm,,300,67,26601,m,526,5.375,y,y,
2018-06-28,pm,,301,67,26601,m,503,5.375,y,y,
2018-06-28,pm,,302,67,26601,m,571,5.375,y,y,
2018-06-28,pm,,303,67,26601,m,455,5.375,y,y,
2018-06-29,am,,292,65,26708,m,633,5.375,y,y,
2018-06-29,pm,,318,71,26600,m,673,5.375,y,y,
2018-06-29,pm,,319,71,26600,m,554,5.375,y,y,
2018-06-29,pm,,320,71,26600,m,520,5.375,y,y,
2018-06-29,pm,,321,71,26600,m,719,5.375,y,y,
2018-06-29,pm,,322,71,26600,m,570,5.375,y,y,
2018-06-29,pm,,323,71,26600,m,658,5.375,y,y,
2018-06-29,pm,,324,71,26600,m,653,5.375,y,y,
2018-06-29,pm,,325,71,26600,m,584,5.375,y,y,
2018-06-29,pm,,326,71,26600,m,665,5.375,y,y,
2018-06-29,pm,,327,71,26600,m,573,5.375,y,y,
2018-06-29,pm,,328,72,26692,m,491,5.375,y,y,
2018-06-29,am,,287,64,26712,f,752,8,y,y,
2018-06-29,am,,288,64,26712,m,698,8,y,y,
2018-06-29,am,,289,64,26712,f,844,8,y,y,
2018-06-29,am,,290,64,26712,f,766,8,y,y,
2018-06-29,am,,291,64,26712,f,844,8,y,y,
2018-06-29,pm,,315,70,26596,m,655,8,y,y,
2018-06-29,pm,,316,70,26596,m,718,8,y,y,
2018-06-29,pm,,317,70,26596,f,741,8,y,y,
2018-06-29,pm,,329,70,26596,m,589,8,y,y,
2018-06-30,am,,304,68,26592,m,674,8,y,y,
2018-06-30,am,,305,68,26592,m,763,8,y,y,
2018-06-30,am,,306,68,26592,f,785,8,y,y,
2018-06-30,am,,307,68,26592,m,661,8,y,y,
2018-06-30,am,,308,68,26592,f,789,8,y,y,
2018-06-30,am,,309,68,26592,f,722,8,y,y,
2018-06-30,pm,,330,73,26677,m,701,8,y,y,
2018-06-30,pm,,331,73,26677,m,713,8,y,y,
2018-06-30,pm,,332,73,26677,f,829,8,y,y,
2018-06-30,pm,,333,73,26677,m,692,8,y,y,
2018-06-30,am,,310,69,26709,m,521,5.375,y,y,
2018-06-30,am,,311,69,26709,m,515,5.375,y,y,
2018-06-30,am,,312,69,26709,f,688,5.375,y,y,
2018-06-30,am,,313,69,26709,m,607,5.375,y,y,
2018-06-30,am,,314,69,26709,m,658,5.375,y,y,
2018-06-30,pm,,334,74,26673,m,552,5.375,y,y,
2018-07-01,am,,341,76,26699,m,697,8,y,y,
2018-07-01,am,,342,76,26699,f,746,8,y,y,
2018-07-01,am,,343,76,26699,m,575,8,y,y,
2018-07-01,am,,344,76,26699,m,757,8,y,y,
2018-07-01,pm,,351,78,26695,m,797,8,y,y,
2018-07-01,pm,,352,78,26695,m,762,8,y,y,
2018-07-01,pm,,353,78,26695,f,760,8,y,y,
2018-07-01,pm,,354,78,26695,f,727,8,y,y,
2018-07-01,pm,,355,78,26695,f,798,8,y,y,
2018-07-01,am,,335,75,26669,f,695,5.375,y,y,
2018-07-01,am,,336,75,26669,m,573,5.375,y,y,
2018-07-01,am,,337,75,26669,m,578,5.375,y,y,
2018-07-01,am,,338,75,26669,f,744,5.375,y,y,
2018-07-01,am,,339,75,26669,m,566,5.375,y,y,
2018-07-01,am,,340,75,26669,m,544,5.375,y,y,
2018-07-01,pm,,345,77,26691,m,581,5.375,y,y,
2018-07-01,pm,,346,77,26691,m,556,5.375,y,y,
2018-07-01,pm,,347,77,26691,m,577,5.375,y,y,
2018-07-01,pm,,348,77,26691,m,659,5.375,y,y,
2018-07-01,pm,,349,77,26691,m,622,5.375,y,y,
2018-07-01,pm,,350,77,26691,m,603,5.375,y,y,
2018-07-02,am,,356,79,26698,m,716,8,y,y,
2018-07-02,am,,357,79,26698,m,696,8,y,y,
2018-07-02,am,,358,80,26694,m,590,5.375,y,y,
2018-07-03,pm,,363,82,26686,f,770,8,y,y,
2018-07-03,pm,,359,81,26690,m,618,5.375,y,y,
2018-07-03,pm,,360,81,26690,m,626,5.375,y,y,
2018-07-03,pm,,361,81,26690,m,550,5.375,y,y,
2018-07-03,pm,,362,81,26690,m,636,5.375,y,y,
2018-07-04,am,,364,83,26676,m,658,8,y,y,
2018-07-04,am,,365,83,26676,m,741,8,y,y,
2018-07-04,am,,366,83,26676,m,743,8,y,y,
2018-07-04,pm,,374,83,26676,m,714,8,y,y,
2018-07-04,pm,,375,83,26676,f,753,8,y,y,
2018-07-04,am,,367,84,26680,m,512,5.375,y,y,
2018-07-04,am,,368,84,26680,m,678,5.375,y,y,
2018-07-04,am,,369,84,26680,m,580,5.375,y,y,
2018-07-04,am,,370,84,26680,m,553,5.375,y,y,
2018-07-04,am,,371,84,26680,m,746,5.375,y,y,
2018-07-04,am,,372,84,26680,m,574,5.375,y,y,
2018-07-04,am,,373,84,26680,m,564,5.375,y,y,
2018-07-04,pm,,376,84,26680,m,514,5.375,y,y,
2018-07-04,pm,,377,84,26680,m,597,5.375,y,y,
2018-07-04,pm,,378,84,26680,m,613,5.375,y,y,
2018-07-05,am,,379,85,26672,f,733,8,y,y,
2018-07-05,am,,380,85,26672,f,800,8,y,y,
2018-07-05,am,,381,85,26672,m,653,8,y,y,
2018-07-05,pm,,382,85,26672,f,753,8,y,y,
2018-07-05,pm,,383,85,26672,f,853,8,y,y,
2018-07-05,pm,,384,85,26672,m,786,8,y,y,
2018-07-05,pm,,385,85,26672,f,727,8,y,y,
2018-07-05,pm,,386,85,26672,m,570,8,y,y,
2018-07-05,am,,387,86,26668,m,561,5.375,y,y,
2018-07-05,am,,388,86,26668,m,758,5.375,y,y,
2018-07-05,am,,389,86,26668,m,696,5.375,y,y,
2018-07-05,pm,,390,86,26668,m,585,5.375,y,y,
2018-07-05,pm,,391,86,26668,f,695,5.375,y,y,
2018-07-05,pm,,392,86,26668,m,606,5.375,y,y,
2018-07-05,pm,,393,86,26668,f,714,5.375,y,y,
2018-07-06,am,,394,87,26697,m,813,8,y,y,
2018-07-06,am,,395,87,26697,f,825,8,y,y,
2018-07-06,am,,396,87,26697,f,817,8,y,y,
2018-07-06,am,,397,87,26697,m,709,8,y,y,
2018-07-06,am,,398,87,26697,m,811,8,y,y,
2018-07-06,pm,,399,87,26697,f,754,8,y,y,
2018-07-06,pm,,400,87,26697,f,779,8,y,y,
2018-07-06,pm,,401,87,26697,f,840,8,y,y,
2018-07-06,pm,,402,87,26697,f,767,8,y,y,
2018-07-06,pm,,403,87,26697,m,586,8,y,y,
2018-07-06,am,,404,88,26693,m,500,5.375,y,y,
2018-07-06,am,,405,88,26693,m,608,5.375,y,y,
2018-07-06,am,,406,88,26693,m,552,5.375,y,y,
2018-07-06,am,,407,88,26693,f,732,5.375,y,y,
2018-07-07,am,,408,89,26696,m,687,8,y,y,
2018-07-07,am ,,409,89,26696,m,729,8,y,y,
2018-07-07,pm,,410,89,26696,m,632,8,y,y,
2018-07-07,pm,,411,89,26696,f,842,8,y,y,
2018-07-07,am,,412,90,26689,f,778,5.375,y,y,
2018-07-08,pm,,413,91,26685,m,791,8,y,y,
2018-07-08,pm,,414,91,26685,m,730,8,y,y,
2018-07-08,pm,,415,91,26685,m,722,8,y,y,
2018-07-08,pm,,416,92,26597,m,580,5.375,y,y,
2018-07-09,pm,,420,94,26589,f,789,8,y,y,
2018-07-09,am,,421,94,26589,f,778,8,y,y,
2018-07-09,pm,,419,95,26679,m,509,5.375,y,y,
2018-07-10,am,,417,93,26593,m,598,5.375,y,y,
2018-07-10,am,,418,93,26593,m,627,5.375,y,y,
2018-07-10,pm,,425,98,26681,m,798,8,y,y,
2018-07-10,pm,,426,99,26683,m,583,5.375,y,y,
2018-07-11,pm,,422,96,26675,f,734,8,y,y,
2018-07-11,pm,,423,97,26671,f,734,5.375,y,y,
2018-07-11,am,,424,97,26671,m,638,5.375,y,y,
2018-07-13,-1,,433,104,26656,f,773,8,y,y,
2018-07-13,-1,,432,103,26682,f,657,5.375,y,y,
2018-07-14,pm,,429,102,26670,f,819,8,y,y,
2018-07-14,am,,430,102,26670,f,615,8,y,y,
2018-07-14,am,,431,102,26670,f,800,8,y,y,
2018-07-15,am,,427,100,26678,f,768,8,y,y,
2018-07-15,am,,428,101,26674,m,572,5.375,y,y,
2018-07-15,pm,,434,105,26658,m,708,8,y,y,
2018-07-16,pm,,435,106,26664,m,481,5.375,y,y,
2018-07-17,am,,436,107,26654,m,477,5.375,y,y,
2018-07-18,pm,,437,108,26652,m,567,5.375,y,y,
2018-07-23,pm,,438,109,26657,m,565,5.375,y,y,
2018-07-22,am,,439,110,26665,m,634,5.375,y,y,
